Interest Rate,Condition,Chicago,Houston,Memphis,New York,Philadelphia,City
13.75,0,0,0,0,0,0,Atlanta
13.75,0,0,0,0,0,0,Atlanta
13.50,0,0,0,0,0,0,Atlanta
13.50,0,0,0,0,0,0,Atlanta
13.00,0,0,0,0,0,0,Atlanta
13.00,0,0,0,0,0,0,Atlanta
13.00,0,0,0,0,0,0,Atlanta
12.75,0,0,0,0,0,0,Atlanta
12.50,0,0,0,0,0,0,Atlanta
14.25,1,1,0,0,0,0,Chicago
13.00,1,1,0,0,0,0,Chicago
12.75,1,1,0,0,0,0,Chicago
12.50,1,1,0,0,0,0,Chicago
12.50,1,1,0,0,0,0,Chicago
12.40,1,1,0,0,0,0,Chicago
12.30,1,1,0,0,0,0,Chicago
11.90,1,1,0,0,0,0,Chicago
11.90,1,1,0,0,0,0,Chicago
14.00,2,0,1,0,0,0,Houston
14.00,2,0,1,0,0,0,Houston
13.51,2,0,1,0,0,0,Houston
13.50,2,0,1,0,0,0,Houston
13.50,2,0,1,0,0,0,Houston
13.25,2,0,1,0,0,0,Houston
13.00,2,0,1,0,0,0,Houston
12.50,2,0,1,0,0,0,Houston
12.50,2,0,1,0,0,0,Houston
15.00,3,0,0,1,0,0,Memphis
14.00,3,0,0,1,0,0,Memphis
13.75,3,0,0,1,0,0,Memphis
13.59,3,0,0,1,0,0,Memphis
13.25,3,0,0,1,0,0,Memphis
12.97,3,0,0,1,0,0,Memphis
12.50,3,0,0,1,0,0,Memphis
12.25,3,0,0,1,0,0,Memphis
11.89,3,0,0,1,0,0,Memphis
14.50,4,0,0,0,1,0,New York
14.00,4,0,0,0,1,0,New York
14.00,4,0,0,0,1,0,New York
13.90,4,0,0,0,1,0,New York
13.75,4,0,0,0,1,0,New York
13.25,4,0,0,0,1,0,New York
13.00,4,0,0,0,1,0,New York
12.50,4,0,0,0,1,0,New York
12.45,4,0,0,0,1,0,New York
13.50,5,0,0,0,0,1,Philadelphia
12.25,5,0,0,0,0,1,Philadelphia
12.25,5,0,0,0,0,1,Philadelphia
12.00,5,0,0,0,0,1,Philadelphia
12.00,5,0,0,0,0,1,Philadelphia
12.00,5,0,0,0,0,1,Philadelphia
12.00,5,0,0,0,0,1,Philadelphia
11.90,5,0,0,0,0,1,Philadelphia
11.90,5,0,0,0,0,1,Philadelphia
