MAX,MEAN,CONDIT,CONDIT*,CONDIT_1,CONDIT_2
115,84.7385,1,0,0,0
110,87.2308,1,0,0,0
113,84.8769,1,0,0,0
103,80.3692,1,0,0,0
114,91.7538,1,0,0,0
112,87.4462,1,0,0,0
115,87.7846,1,0,0,0
96,73.2769,1,0,0,0
107,84.5231,1,0,0,0
103,77.8,1,0,0,0
95,70.8769,1,0,0,0
115,90.0154,1,0,0,0
120,99.0462,1,0,0,0
96,75.4769,1,0,0,0
84,62.6462,1,0,0,0
128,99.6923,2,1,1,0
122,91.3538,2,1,1,0
108,83.4,2,1,1,0
128,100.877,2,1,1,0
131,102.154,2,1,1,0
118,89.8154,2,1,1,0
83,80.2769,2,1,1,0
127,98.2,2,1,1,0
132,101.062,2,1,1,0
103,76.9077,2,1,1,0
126,97.0462,2,1,1,0
116,88.0154,2,1,1,0
110,81.6,2,1,1,0
113,86.9846,2,1,1,0
120,92.4923,2,1,1,0
72,69.1692,3,2,0,1
72,68.8615,3,2,0,1
74,70.1692,3,2,0,1
68,64.1692,3,2,0,1
82,79.6615,3,2,0,1
72,69.2308,3,2,0,1
78,75.9846,3,2,0,1
92,86.4462,3,2,0,1
127,97.5385,3,2,0,1
87,85,3,2,0,1
73,69.5385,3,2,0,1
74,70.0769,3,2,0,1
76,72.2615,3,2,0,1
70,65.4462,3,2,0,1
61,58.6923,3,2,0,1
